date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:49	80/80	---MCZ	200	added ('OK')	application/javascript	etag:W/%2250-196a558f240%22	https://www.mrcooper.com/_next/static/9rhJlrvgGtTkIE0_nnGY0/_ssgManifest.js	./mrcooper_website/www.mrcooper.com/_next/static/9rhJlrvgGtTkIE0_nnGY0/_ssgManifest.js	(from https://www.mrcooper.com/)
15:27:52	407489/407489	---M--	200	added ('OK')	image/jpeg	etag:W/%22637c1-19614346038%22	https://www.mrcooper.com/_next/static/media/home-testimonial-bg.e6ae6a0e.jpg	./mrcooper_website/www.mrcooper.com/_next/static/media/home-testimonial-bg.e6ae6a0e.jpg	(from https://www.mrcooper.com/)
15:27:53	679434/679434	---MCZ	200	added ('OK')	text/css	etag:W/%22a5e0a-196a5586988%22	https://www.mrcooper.com/_next/static/css/ebf3381894753392.css	./mrcooper_website/www.mrcooper.com/_next/static/css/ebf3381894753392.css	(from https://www.mrcooper.com/)
15:27:54	169368/169368	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:53%20GMT	https://www.mrcooper.com/loans/types?internal_ref=loan_types_leftnav	./mrcooper_website/www.mrcooper.com/loans/types83f1.html	(from https://www.mrcooper.com/)
15:27:55	153819/153819	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:54%20GMT	https://www.mrcooper.com/calculators?internal_ref=calculators_leftnav	./mrcooper_website/www.mrcooper.com/calculatorsad4d.html	(from https://www.mrcooper.com/)
15:27:55	534907/534907	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228297b-1965cbf19b0%22	https://www.mrcooper.com/_next/static/media/mr-cooper-city-spring.400d31c5.svg	./mrcooper_website/www.mrcooper.com/_next/static/media/mr-cooper-city-spring.400d31c5.svg	(from https://www.mrcooper.com/)
15:27:56	151900/151900	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:55%20GMT	https://www.mrcooper.com/get-started/home-equity-loan?internal_ref=home_equity_leftnav	./mrcooper_website/www.mrcooper.com/get-started/home-equity-loan0db2.html	(from https://www.mrcooper.com/)
15:27:56	82/82	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20May%202025%2020:27:56%20GMT	https://www.mrcooper.com/get-started/refinance?internal_ref=refinance_leftnav	./mrcooper_website/www.mrcooper.com/get-started/refinancea78f	(from https://www.mrcooper.com/)
15:27:58	169487/169487	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:57%20GMT	https://www.mrcooper.com/refinance?internal_ref=refinance_leftnav	./mrcooper_website/www.mrcooper.com/refinancea78f.html	(from https://www.mrcooper.com/)
15:27:59	183741/183741	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:58%20GMT	https://www.mrcooper.com/buy?internal_ref=buy_leftnav	./mrcooper_website/www.mrcooper.com/buy2b72.html	(from https://www.mrcooper.com/)
15:28:00	109445/109445	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:27:59%20GMT	https://www.mrcooper.com/help-center?internal_ref=help_center_leftnav	./mrcooper_website/www.mrcooper.com/help-center9f46.html	(from https://www.mrcooper.com/)
15:28:01	56781/56781	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:00%20GMT	https://www.mrcooper.com/welcome	./mrcooper_website/www.mrcooper.com/welcome.html	(from https://www.mrcooper.com/)
15:28:01	40/40	---MC-	302	error ('Found')	text/html	date:Fri,%2009%20May%202025%2020:28:01%20GMT	https://www.mrcooper.com/contact_us	./mrcooper_website/www.mrcooper.com/contact_us	(from https://www.mrcooper.com/)
15:28:03	161668/161668	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:02%20GMT	https://www.mrcooper.com/contact-us	./mrcooper_website/www.mrcooper.com/contact-us.html	(from https://www.mrcooper.com/)
15:28:04	139230/139230	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:03%20GMT	https://www.mrcooper.com/get-started/rates?internal_ref=rates_	./mrcooper_website/www.mrcooper.com/get-started/rates1869.html	(from https://www.mrcooper.com/)
15:28:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2009%20May%202025%2020:28:04%20GMT	https://www.mrcooper.com/refinance/quote?internal_ref=apply_	./mrcooper_website/www.mrcooper.com/refinance/quotedd4c	(from https://www.mrcooper.com/)
15:28:06	138571/138571	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:05%20GMT	https://www.mrcooper.com/get-started/quote?internal_ref=apply_	./mrcooper_website/www.mrcooper.com/get-started/quotedd4c.html	(from https://www.mrcooper.com/)
15:28:07	109437/109437	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:06%20GMT	https://www.mrcooper.com/help-center?internal_ref=help_	./mrcooper_website/www.mrcooper.com/help-center0eaf.html	(from https://www.mrcooper.com/)
15:28:07	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2009%20May%202025%2020:28:07%20GMT	https://www.mrcooper.com/logout	./mrcooper_website/www.mrcooper.com/logout	(from https://www.mrcooper.com/)
15:28:08	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2009%20May%202025%2020:28:08%20GMT	https://www.mrcooper.com/logout	./mrcooper_website/www.mrcooper.com/logout	(from https://www.mrcooper.com/)
15:28:10	122547/122547	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:09%20GMT	https://www.mrcooper.com/get-started/simple-cash-options?internal_ref=HomePage_Slot_Four	./mrcooper_website/www.mrcooper.com/get-started/simple-cash-options641a.html	(from https://www.mrcooper.com/)
15:28:11	34859/34859	---M--	200	added ('OK')	image/png	etag:q8BZTSG8YqGr84YvYonkrBTmSx-BaQmdOCbwPdILBxI	https://www.mrcooper.com/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fwoman-money-orange-small.c33d4e1b.png&w=640&q=75	./mrcooper_website/www.mrcooper.com/_next/woman-money-orange-smallb312.png	(from https://www.mrcooper.com/)
15:28:11	175975/175975	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20May%202025%2020:28:10%20GMT	https://www.mrcooper.com/get-started/home-loan?internal_ref=HomePage_Slot_Three_RefiCTA_0	./mrcooper_website/www.mrcooper.com/get-started/home-loan33da.html	(from https://www.mrcooper.com/)
